lap_time_s,driver,year,lap,gp,compound,stint,tyre_life
80.376,DEV,2023,4,Monaco,MEDIUM,1,4
99.948,OCO,2023,3,Bahrain,SOFT,1,6
83.934,STR,2022,43,Australia,HARD,4,24
116.566,NOR,2023,1,Australia,MEDIUM,1,1
96.962,VER,2023,49,Bahrain,HARD,3,13
96.113,ALO,2022,4,Saudi Arabia,MEDIUM,1,4
85.072,PIA,2023,43,Monza,MEDIUM,3,5
96.181,RUS,2024,50,Bahrain,HARD,3,19
84.471,HAM,2022,42,Monza,SOFT,2,9
83.615,BOT,2022,49,Australia,HARD,2,27
97.668,HAM,2022,39,Bahrain,MEDIUM,3,12
86.717,PIA,2023,34,Monza,HARD,2,16
80.775,LEC,2024,10,Monaco,HARD,2,9
85.288,RUS,2022,40,Monza,HARD,2,17
82.678,PER,2023,24,Australia,HARD,4,17
99.626,SAR,2023,56,Bahrain,SOFT,4,16
101.18,VER,2023,27,Singapore,HARD,1,27
88.269,GAS,2024,3,Monaco,MEDIUM,2,2
80.669,ZHO,2024,21,Monaco,HARD,2,20
101.541,OCO,2023,7,Australia,HARD,2,6
91.615,OCO,2022,20,Monaco,WET,1,20
148.721,ZHO,2023,37,Silverstone,SOFT,4,4
81.137,ALB,2024,17,Monaco,HARD,2,16
95.223,VER,2024,26,Bahrain,HARD,2,9
85.284,BOT,2022,17,Australia,MEDIUM,1,17
94.644,VER,2022,43,Saudi Arabia,HARD,2,27
78.945,RUS,2023,6,Monaco,HARD,1,6
94.122,NOR,2023,49,Saudi Arabia,MEDIUM,3,30
97.856,BOT,2023,53,Bahrain,HARD,3,24
81.896,TSU,2024,9,Monaco,HARD,2,9
174.11,VET,2022,1,Silverstone,SOFT,1,1
78.679,RUS,2024,28,Monaco,MEDIUM,2,27
96.683,ZHO,2024,40,Bahrain,HARD,3,12
80.632,VER,2023,51,Australia,HARD,2,43
127.757,STR,2023,3,Australia,MEDIUM,1,4
99.222,PER,2022,32,Bahrain,MEDIUM,2,17
124.945,PER,2022,40,Saudi Arabia,HARD,2,25
79.627,TSU,2023,12,Monaco,MEDIUM,1,12
99.089,DEV,2023,50,Bahrain,HARD,3,23
92.474,VER,2022,35,Saudi Arabia,HARD,2,19
82.998,HAM,2023,15,Australia,HARD,2,7
97.521,GAS,2024,16,Bahrain,HARD,2,4
107.368,ZHO,2023,35,Silverstone,SOFT,3,2
98.264,SAI,2022,25,Bahrain,SOFT,2,11
79.027,PER,2022,36,Monaco,MEDIUM,4,6
76.082,LEC,2024,68,Monaco,HARD,2,67
78.197,TSU,2024,66,Monaco,HARD,2,66
100.919,ALB,2023,45,Singapore,MEDIUM,3,2
137.172,ALO,2022,41,Silverstone,SOFT,4,2
81.352,NOR,2023,52,Australia,HARD,2,44
95.717,TSU,2023,23,Saudi Arabia,HARD,2,6
146.619,HAM,2023,36,Silverstone,SOFT,2,6
79.067,DEV,2023,31,Monaco,MEDIUM,1,31
77.54,GAS,2023,25,Monaco,HARD,1,25
86.798,OCO,2022,36,Monza,HARD,2,17
82.828,HAM,2022,34,Monaco,MEDIUM,4,4
77.847,RUS,2023,43,Monaco,HARD,1,43
93.431,STR,2023,22,Silverstone,MEDIUM,1,23
101.031,LAT,2022,25,Bahrain,SOFT,2,11
100.273,HAM,2023,14,Singapore,MEDIUM,1,14
77.947,ALO,2023,22,Monaco,HARD,1,23
175.539,MAG,2022,1,Monaco,WET,1,1
86.178,RUS,2023,4,Monza,MEDIUM,1,4
97.68,VER,2023,2,Saudi Arabia,MEDIUM,1,2
88.759,TSU,2023,74,Monaco,INTERMEDIATE,2,21
79.543,SAI,2024,15,Monaco,HARD,2,14
95.574,NOR,2023,27,Saudi Arabia,MEDIUM,3,8
116.898,NOR,2024,34,Bahrain,HARD,3,1
98.559,ALO,2023,32,Silverstone,MEDIUM,1,33
78.372,OCO,2023,17,Monaco,MEDIUM,1,17
77.293,HAM,2023,39,Monaco,HARD,2,8
81.452,OCO,2023,51,Australia,HARD,3,50
99.073,LEC,2023,10,Bahrain,SOFT,1,10
82.221,HUL,2023,27,Australia,HARD,2,19
83.719,HUL,2023,13,Australia,HARD,2,5
103.122,HAM,2024,1,Bahrain,SOFT,1,4
87.711,RIC,2022,15,Monza,MEDIUM,1,15
79.986,PER,2023,29,Monaco,HARD,2,28
91.341,HAM,2023,53,Monaco,HARD,2,22
82.979,NOR,2022,46,Australia,HARD,2,26
88.416,DEV,2022,2,Monza,SOFT,1,2
80.386,TSU,2024,24,Monaco,HARD,2,24
81.62,GAS,2022,37,Monaco,HARD,4,15
93.979,BOT,2022,31,Saudi Arabia,HARD,2,15
101.156,ZHO,2023,6,Bahrain,SOFT,1,6
99.736,NOR,2023,30,Singapore,HARD,2,10
78.652,NOR,2023,7,Monaco,MEDIUM,1,7
97.375,OCO,2022,4,Saudi Arabia,MEDIUM,1,4
93.788,STR,2022,36,Silverstone,HARD,3,22
78.122,NOR,2022,39,Monaco,HARD,4,17
89.68,HAM,2023,70,Monaco,INTERMEDIATE,3,16
99.165,RUS,2022,25,Bahrain,HARD,2,11
95.14,STR,2023,7,Saudi Arabia,MEDIUM,1,7
82.541,ZHO,2022,55,Australia,HARD,2,34
87.36,BOT,2023,7,Monza,HARD,1,10
80.549,LEC,2023,2,Monaco,HARD,1,2
103.755,MAG,2023,59,Monaco,WET,2,3
104.0,PER,2022,43,Monza,SOFT,3,1
95.7,LEC,2023,22,Saudi Arabia,HARD,2,6
80.702,SAR,2023,13,Monaco,MEDIUM,1,13
95.161,HAM,2023,32,Silverstone,MEDIUM,1,32
97.015,VER,2023,45,Bahrain,HARD,3,9
82.901,TSU,2023,40,Australia,HARD,2,32
95.739,PIA,2024,53,Bahrain,HARD,3,19
78.141,SAI,2024,47,Monaco,HARD,2,46
80.286,ALO,2024,43,Monaco,MEDIUM,2,43
124.565,GAS,2024,13,Bahrain,HARD,2,1
96.814,OCO,2024,38,Bahrain,HARD,3,8
77.279,STR,2024,56,Monaco,SOFT,4,8
79.153,TSU,2024,34,Monaco,HARD,2,34
101.352,PIA,2023,11,Bahrain,SOFT,1,11
102.204,PIA,2023,35,Singapore,HARD,2,15
97.861,ALB,2023,52,Bahrain,SOFT,4,12
106.101,ALB,2023,58,Monaco,INTERMEDIATE,3,6
87.153,ZHO,2023,24,Monza,HARD,2,16
91.56,NOR,2023,50,Silverstone,HARD,2,17
78.31,GAS,2023,10,Monaco,HARD,1,10
79.045,NOR,2023,6,Monaco,MEDIUM,1,6
96.297,PER,2023,68,Monaco,WET,5,11
77.296,NOR,2024,78,Monaco,HARD,2,78
79.865,GAS,2024,48,Monaco,MEDIUM,2,47
77.161,VER,2023,40,Monaco,MEDIUM,1,40
78.23,HUL,2023,25,Monaco,HARD,2,24
87.909,STR,2023,17,Monza,MEDIUM,1,17
77.273,VER,2023,37,Monaco,MEDIUM,1,37
93.933,NOR,2022,29,Silverstone,MEDIUM,2,29
79.211,ZHO,2022,57,Monaco,MEDIUM,3,28
79.88,TSU,2022,44,Monaco,MEDIUM,4,15
109.227,RIC,2022,44,Bahrain,HARD,3,11
82.986,NOR,2023,17,Australia,HARD,2,9
96.008,SAI,2024,22,Bahrain,HARD,2,8
82.341,NOR,2023,49,Australia,HARD,2,41
93.821,LEC,2022,10,Silverstone,MEDIUM,2,9
101.818,RIC,2022,5,Bahrain,MEDIUM,1,5
100.395,STR,2022,57,Bahrain,SOFT,4,12
97.57,PIA,2024,31,Bahrain,HARD,2,19
94.418,ZHO,2023,14,Silverstone,MEDIUM,1,14
98.418,PER,2023,25,Bahrain,SOFT,2,10
97.387,PER,2023,27,Bahrain,SOFT,2,12
76.458,HAM,2024,53,Monaco,HARD,3,3
78.574,VER,2024,30,Monaco,MEDIUM,2,29
94.056,TSU,2023,42,Saudi Arabia,HARD,2,25
93.07,PIA,2023,1,Monaco,HARD,1,1
94.53,HUL,2023,3,Silverstone,HARD,1,3
98.972,HUL,2023,15,Bahrain,HARD,2,4
100.016,MAG,2023,63,Monaco,WET,2,7
93.367,HAM,2023,48,Saudi Arabia,MEDIUM,2,30
104.45,HUL,2022,17,Bahrain,SOFT,1,17
79.428,GAS,2024,38,Monaco,MEDIUM,2,37
82.155,SAI,2023,30,Australia,HARD,3,23
77.894,SAR,2023,25,Monaco,SOFT,3,2
97.957,ZHO,2023,36,Bahrain,SOFT,3,7
94.429,PIA,2023,40,Saudi Arabia,HARD,2,39
91.4,VER,2023,48,Silverstone,SOFT,2,18
92.377,ALO,2023,21,Monza,MEDIUM,1,21
88.386,VER,2023,73,Monaco,INTERMEDIATE,2,18
74.72,TSU,2024,77,Monaco,HARD,2,77
87.085,STR,2023,28,Monza,HARD,2,12
87.055,RUS,2023,17,Monza,MEDIUM,1,17
93.255,GAS,2023,28,Silverstone,MEDIUM,1,28
97.722,PER,2024,4,Bahrain,SOFT,1,7
81.854,SAI,2023,31,Australia,HARD,3,24
98.64,OCO,2024,5,Bahrain,SOFT,1,5
82.339,RIC,2022,35,Monaco,HARD,3,16
96.518,ZHO,2024,34,Bahrain,HARD,3,6
80.03,RUS,2023,4,Monaco,HARD,1,4
81.881,SAR,2023,43,Australia,HARD,5,14
96.454,PER,2024,17,Bahrain,HARD,2,5
91.752,ALB,2023,43,Silverstone,SOFT,2,15
144.892,SAR,2023,36,Silverstone,SOFT,2,7
95.849,OCO,2023,5,Saudi Arabia,MEDIUM,1,5
96.635,RUS,2024,2,Bahrain,SOFT,1,5
94.609,LEC,2023,14,Saudi Arabia,SOFT,1,14
77.172,RIC,2024,46,Monaco,HARD,2,46
109.364,NOR,2022,17,Monaco,WET,1,17
94.572,MAG,2022,30,Saudi Arabia,HARD,1,32
95.44,SAI,2024,49,Bahrain,HARD,3,14
88.232,MAG,2022,15,Monza,MEDIUM,1,15
79.37,ALB,2024,70,Monaco,HARD,2,69
92.904,SAI,2022,32,Saudi Arabia,HARD,2,16
79.099,ZHO,2023,37,Monaco,HARD,2,36
91.36,LEC,2023,47,Silverstone,MEDIUM,3,15
95.911,ALB,2023,11,Saudi Arabia,MEDIUM,1,11
95.528,GAS,2022,16,Silverstone,SOFT,2,15
76.581,RUS,2024,63,Monaco,MEDIUM,2,62
97.984,ALB,2023,35,Bahrain,HARD,3,9
97.947,ZHO,2024,21,Bahrain,HARD,2,12
97.428,ALB,2023,64,Monaco,INTERMEDIATE,3,12
80.862,RIC,2024,17,Monaco,HARD,2,17
83.224,TSU,2024,6,Monaco,HARD,2,6
97.642,ALO,2022,56,Bahrain,SOFT,4,14
96.695,TSU,2024,49,Bahrain,HARD,3,15
138.447,LEC,2023,44,Singapore,HARD,2,24
79.989,STR,2023,2,Monaco,HARD,1,3
122.845,BOT,2023,3,Australia,HARD,2,2
84.956,RIC,2022,12,Australia,MEDIUM,1,12
87.536,MAG,2023,24,Monza,MEDIUM,2,12
86.945,LAT,2022,35,Monza,HARD,2,20
97.257,STR,2023,47,Bahrain,HARD,3,17
105.603,VER,2022,3,Monaco,WET,1,3
87.642,OCO,2022,7,Monza,SOFT,1,7
79.704,GAS,2024,56,Monaco,MEDIUM,2,55
95.632,STR,2024,30,Bahrain,HARD,3,3
134.508,LEC,2022,49,Monza,SOFT,4,4
85.615,PIA,2023,76,Monaco,INTERMEDIATE,2,22
81.894,VER,2023,34,Australia,HARD,2,26
96.668,NOR,2024,22,Bahrain,HARD,2,9
86.837,NOR,2022,27,Monza,MEDIUM,1,27
94.957,HUL,2023,36,Saudi Arabia,HARD,2,25
90.547,VER,2023,40,Silverstone,SOFT,2,10
87.303,SAI,2023,46,Monza,HARD,2,27
97.968,ALB,2024,30,Bahrain,HARD,2,15
82.269,VER,2023,22,Australia,HARD,2,14
86.912,ALO,2023,47,Monza,HARD,2,29
